Q2.1a, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1301/ontocomodise2014_6.pdf , AffiliationEntry
Q2.1b, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_05.pdf  , AffiliationEntry
Q2.1c, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1044/paper-03.pdf , AffiliationEntry
Q2.1d, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-958/paper6.pdf , AffiliationEntry
Q2.1e, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-903/paper-05.pdf , AffiliationEntry

Q2.2a, Identify the papers presented at the workshop http://ceur-ws.org/Vol-1301/ and written by researchers affiliated to an organization located in the country 'Brazil' , CEURArticleEntry
Q2.2b, Identify the papers presented at the workshop http://ceur-ws.org/Vol-1215/ and written by researchers affiliated to an organization located in the country 'Germany' , CEURArticleEntry
Q2.2c, Identify the papers presented at the workshop http://ceur-ws.org/Vol-778/ and written by researchers affiliated to an organization located in the country 'Italy' , CEURArticleEntry
Q2.2d, Identify the papers presented at the workshop http://ceur-ws.org/Vol-665/ and written by researchers affiliated to an organization located in the country 'United Kingdom' , CEURArticleEntry
Q2.2e, Identify the papers presented at the workshop http://ceur-ws.org/Vol-571/ and written by researchers affiliated to an organization located in the country 'Spain' , CEURArticleEntry

Q2.3a, Identify all works cited by the paper http://ceur-ws.org/Vol-1248/WoMO14-Paper4.pdf , ArticleEntry
Q2.3b, Identify all works cited by the paper http://ceur-ws.org/Vol-1215/paper-03.pdf , ArticleEntry
Q2.3c, Identify all works cited by the paper http://ceur-ws.org/Vol-958/paper7.pdf , ArticleEntry
Q2.3d, Identify all works cited by the paper http://ceur-ws.org/Vol-903/paper-07.pdf  , ArticleEntry
Q2.3e, Identify all works cited by the paper http://ceur-ws.org/Vol-721/paper-04.pdf , ArticleEntry

Q2.4a, Identify all works cited by the paper http://ceur-ws.org/Vol-1215/paper-06.pdf and published after the year 2009 , RecentArticleEntry
Q2.4b, Identify all works cited by the paper http://ceur-ws.org/Vol-958/paper8.pdf and published after the year 2005 , RecentArticleEntry
Q2.4c, Identify all works cited by the paper http://ceur-ws.org/Vol-903/paper-07.pdf and published after the year 2005 , RecentArticleEntry
Q2.4d, Identify all works cited by the paper http://ceur-ws.org/Vol-778/paper6.pdf and published after the year 2008 , RecentArticleEntry
Q2.4e, Identify all works cited by the paper http://ceur-ws.org/Vol-665/NortonEtAl_COLD2010.pdf and published after the year 2007 , RecentArticleEntry

Q2.5a, Identify all journal papers cited by the paper http://ceur-ws.org/Vol-1301/ontocomodise2014_7.pdf , JournalArticleEntry
Q2.5b, Identify all journal papers cited by the paper http://ceur-ws.org/Vol-958/paper7.pdf , JournalArticleEntry
Q2.5c, Identify all journal papers cited by the paper http://ceur-ws.org/Vol-903/paper-04.pdf , JournalArticleEntry
Q2.5d, Identify all journal papers cited by the paper http://ceur-ws.org/Vol-721/paper-07.pdf , JournalArticleEntry
Q2.5e, Identify all journal papers cited by the paper http://ceur-ws.org/Vol-571/paper3.pdf , JournalArticleEntry

Q2.6a, Identify the grant(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1301/ontocomodise2014_10.pdf , GrantEntry
Q2.6b, Identify the grant(s) that supported the research presented in the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_13.pdf , GrantEntry
Q2.6c, Identify the grant(s) that supported the research presented in the paper http://ceur-ws.org/Vol-813/ldow2011-paper12.pdf , GrantEntry
Q2.6d, Identify the grant(s) that supported the research presented in the paper http://ceur-ws.org/Vol-813/ldow2011-paper09.pdf , GrantEntry
Q2.6e, Identify the grant(s) that supported the research presented in the paper http://ceur-ws.org/Vol-315/paper8.pdf , GrantEntry

