CEUR-iri,DBLP-iri
http://ceur-ws.org/Vol-1329/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-1302/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-1188/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-1123/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-1035/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-937/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-782/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-781/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-674/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-671/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-631/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-565/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-538/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-516/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-426/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-401/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-273/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-249/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-206/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-201/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
http://ceur-ws.org/Vol-185/#ValentinaiPresutti,http://dblp.l3s.de/d2r/page/authors/Valentina_Presutti
