section-iri, section-number, section-title
<http://ceur-ws.org/section/vol-1531-paper2_sec1>, "1"^^xsd:integer, "INTRODUCTION"
<http://ceur-ws.org/section/vol-1531-paper2_sec2>, "2"^^xsd:integer, "PROBLEM STATEMENT AND MOTIVATION"
<http://ceur-ws.org/section/vol-1531-paper2_sec3>, "3"^^xsd:integer, "RELATED WORK"
<http://ceur-ws.org/section/vol-1531-paper2_sec4>, "4"^^xsd:integer, "THE PROPOSED SOLUTION"
<http://ceur-ws.org/section/vol-1531-paper2_sec5>, "5"^^xsd:integer, "PRELIMINARY WORK"
<http://ceur-ws.org/section/vol-1531-paper2_sec6>, "6"^^xsd:integer, "EXPECTED CONTRIBUTIONS"
<http://ceur-ws.org/section/vol-1531-paper2_sec7>, "7"^^xsd:integer, "PLAN FOR EVALUATION AND VALIDATION"
<http://ceur-ws.org/section/vol-1531-paper2_sec8>, "8"^^xsd:integer, "CURRENT STATUS"
<http://ceur-ws.org/section/vol-1531-paper2_sec9>, "9"^^xsd:integer, "ACKNOWLEDGMENT"
<http://ceur-ws.org/section/vol-1531-paper2_sec10>, "10"^^xsd:integer, "REFERENCES"
