affiliation-iri, affiliation-fullname, author-iri, author-fullname
<http://ceur-ws.org/affiliation/center-for-medical-biometry-and-medical-informatics-medical-center---university-of-freiburg>, "Center for Medical Biometry and Medical Informatics, Medical Center - University of Freiburg", <http://ceur-ws.org/author/daniel-schober>, "Daniel Schober"
<http://ceur-ws.org/affiliation/inserm-limics-umr_s-1142-f-75006-paris-universite>, "INSERM, LIMICS, (UMR_S 1142) F-75006 Paris Université", <http://ceur-ws.org/author/remy-choquet>, "Remy Choquet"
<http://ceur-ws.org/affiliation/advanced-clinical-applications-research-group-agfa-healthcare-nv>, "Advanced Clinical Applications Research Group, Agfa HealthCare NV", <http://ceur-ws.org/author/kristof-depraetere>, "Kristof Depraetere"
<http://ceur-ws.org/affiliation/averbis-averbis-gmbh>, "AVERBIS, Averbis GmbH", <http://ceur-ws.org/author/frank-enders>, "Frank Enders"
<http://ceur-ws.org/affiliation/averbis-gmbh>, "Averbis GmbH", <http://ceur-ws.org/author/philipp-daumke>, "Philipp Daumke"
<http://ceur-ws.org/affiliation/inserm-limics-umr_s-1142-f-75006-paris-universite>, "INSERM, LIMICS, (UMR_S 1142) F-75006 Paris Université", <http://ceur-ws.org/author/marie-christine-jaulent>, "Marie-Christine Jaulent"
<http://ceur-ws.org/affiliation/division-of-medical-information-sciences-university-hospitals-of-geneva>, "Division of Medical Information Sciences, University Hospitals of Geneva", <http://ceur-ws.org/author/douglas-teodoro>, "Douglas Teodoro"
<http://ceur-ws.org/affiliation/division-of-medical-information-sciences-university-hospitals-of-geneva>, "Division of Medical Information Sciences, University Hospitals of Geneva", <http://ceur-ws.org/author/emilie-pasche>, "Emilie Pasche"
<http://ceur-ws.org/affiliation/division-of-medical-information-sciences-university-hospitals-of-geneva>, "Division of Medical Information Sciences, University Hospitals of Geneva", <http://ceur-ws.org/author/christian-lovis>, "Christian Lovis"
<http://ceur-ws.org/affiliation/center-for-medical-biometry-and-medical-informatics-medical-center---university-of-freiburg>, "Center for Medical Biometry and Medical Informatics, Medical Center - University of Freiburg", <http://ceur-ws.org/author/martin-boeker>, "Martin Boeker"
