Q1.1, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1518/paper1.pdf, AffiliationEntry
Q1.2, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1518/paper2.pdf, AffiliationEntry
Q1.3, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1518/paper3.pdf, AffiliationEntry
Q1.4, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1518/paper4.pdf, AffiliationEntry
Q1.5, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1518/paper5.pdf, AffiliationEntry
Q1.6, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1518/paper6.pdf, AffiliationEntry
Q1.7, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1518/paper7.pdf, AffiliationEntry
Q1.8, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1518/paper8.pdf, AffiliationEntry
Q1.9, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1518/paper9.pdf, AffiliationEntry
Q1.10, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1521/paper1.pdf, AffiliationEntry
Q1.11, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1521/paper2.pdf, AffiliationEntry
Q1.12, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1521/paper3.pdf, AffiliationEntry
Q1.13, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1521/paper4.pdf, AffiliationEntry
Q1.14, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1521/paper5.pdf, AffiliationEntry
Q1.15, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1521/paper6.pdf, AffiliationEntry
Q1.16, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1521/paper7.pdf, AffiliationEntry
Q1.17, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1500/paper1.pdf, AffiliationEntry
Q1.18, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1500/paper2.pdf, AffiliationEntry
Q1.19, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1500/paper3.pdf, AffiliationEntry
Q1.20, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1500/paper4.pdf, AffiliationEntry
Q1.21, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1500/paper6.pdf, AffiliationEntry
Q1.22, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1319/morse14_paper_07.pdf, AffiliationEntry
Q1.23, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper1.pdf, AffiliationEntry
Q1.24, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1514/paper1.pdf, AffiliationEntry
Q1.25, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1514/paper2.pdf, AffiliationEntry
Q1.26, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1514/paper3.pdf, AffiliationEntry
Q1.27, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1514/paper4.pdf, AffiliationEntry
Q1.28, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1514/paper5.pdf, AffiliationEntry
Q1.29, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1514/paper6.pdf, AffiliationEntry
Q1.30, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1405/paper06.pdf, AffiliationEntry
Q1.31, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1303/paper_3.pdf, AffiliationEntry
Q1.32, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1001/paper2.pdf, AffiliationEntry
Q1.33, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1006/paper5.pdf, AffiliationEntry
Q1.34, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1504/uai2015aci_paper3.pdf, AffiliationEntry
Q1.35, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1504/uai2015aci_abstract1.pdf, AffiliationEntry
Q1.36, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1531/paper1.pdf, AffiliationEntry
Q1.37, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1309/paper2.pdf, AffiliationEntry
Q1.38, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1309/paper3.pdf, AffiliationEntry
Q1.39, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1313/paper_8.pdf, AffiliationEntry
Q1.40, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1315/paper9.pdf, AffiliationEntry
Q1.41, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1315/paper13.pdf, AffiliationEntry
Q1.42, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1320/paper_7.pdf, AffiliationEntry
Q1.43, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1320/paper_12.pdf, AffiliationEntry
Q1.44, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1320/paper_22.pdf, AffiliationEntry
Q1.45, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1320/paper_31.pdf, AffiliationEntry
Q2.1, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1518/paper1.pdf, CountryEntry
Q2.2, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1518/paper2.pdf, CountryEntry
Q2.3, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1518/paper3.pdf, CountryEntry
Q2.4, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1518/paper4.pdf, CountryEntry
Q2.5, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1518/paper5.pdf, CountryEntry
Q2.6, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1518/paper6.pdf, CountryEntry
Q2.7, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1518/paper7.pdf, CountryEntry
Q2.8, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1518/paper8.pdf, CountryEntry
Q2.9, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1518/paper9.pdf, CountryEntry
Q2.10, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1521/paper1.pdf, CountryEntry
Q2.11, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1521/paper2.pdf, CountryEntry
Q2.12, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1521/paper3.pdf, CountryEntry
Q2.13, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1521/paper4.pdf, CountryEntry
Q2.14, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1521/paper5.pdf, CountryEntry
Q2.15, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1521/paper6.pdf, CountryEntry
Q2.16, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1521/paper7.pdf, CountryEntry
Q2.17, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1500/paper1.pdf, CountryEntry
Q2.18, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1500/paper2.pdf, CountryEntry
Q2.19, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1500/paper3.pdf, CountryEntry
Q2.20, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1500/paper4.pdf, CountryEntry
Q2.21, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1500/paper6.pdf, CountryEntry
Q2.22, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1319/morse14_paper_07.pdf, CountryEntry
Q2.23, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper1.pdf, CountryEntry
Q2.24, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1514/paper1.pdf, CountryEntry
Q2.25, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1514/paper2.pdf, CountryEntry
Q2.26, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1514/paper3.pdf, CountryEntry
Q2.27, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1514/paper4.pdf, CountryEntry
Q2.28, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1514/paper5.pdf, CountryEntry
Q2.29, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1514/paper6.pdf, CountryEntry
Q2.30, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1405/paper06.pdf, CountryEntry
Q2.31, Identify the countries of the affiliations of the authors in the paper http://ceur-ws.org/Vol-1303/paper_3.pdf, CountryEntry
