Q1.1, Same person - Multiple URIs for Ruben Verborgh , URLEntry
Q1.2, Same person - Multiple URIs for Olaf Hartig , URLEntry
Q1.3, Same person - Multiple URIs for Yolanda Gil , URLEntry
Q1.4, Same person - Multiple URIs for Valentina Presutti , URLEntry
Q1.5, Same person - Multiple URIs for Jérôme Euzenat , URLEntry

Q2.1, Same conference ISWC 2013 - Multiple URIs , URLEntry
Q2.2, Same conference ISWC 2011 - Multiple URIs , URLEntry
Q2.3, Same conference EIS - Multiple URIs , URLEntry
Q2.4, Same conference RecSys 2012 - Multiple URIs , URLEntry
Q2.5, Same conference - Multiple URIs , URLEntry

Q3.1, Same cited paper  Weaving the Open Linked Data - Multiple URIs , URLEntry
Q3.2, Same cited paper Managing uncertainty and vagueness in description logics for the Semantic Web - Multiple URIs , URLEntry
Q3.3, Same cited paper The semantic web revisited - Multiple URIs , URLEntry
Q3.4, Same cited paper Data Summaries for On-Demand Queries over Linked Data - Multiple URIs , URLEntry
Q3.5, Same cited paper Managing co-reference on the semantic web - Multiple URIs , URLEntry

Q4.1, Same people - Different URIs in CEUR-WS subsets for Ruben Verborgh , FirstTwoColumnsEqual
Q4.2, Same people - Different URIs in CEUR-WS subsets for Olaf Hartig , FirstTwoColumnsEqual
Q4.3, Same people - Different URIs in CEUR-WS subsets for Yolanda Gil , FirstTwoColumnsEqual
Q4.4, Same people - Different URIs in CEUR-WS subsets for Valentina Presutti , FirstTwoColumnsEqual
Q4.5, Same people - Different URIs in CEUR-WS subsets for Jérôme Euzenat , FirstTwoColumnsEqual

Q5.1, Same workshops in the CEUR-WS and Colinda datasets for the Consuming Linked Data 2010, FirstTwoColumnsEqual
Q5.2, Same workshops in the CEUR-WS and Colinda datasets for the Workshop on Linked Data On the Web 2012 , FirstTwoColumnsEqual
Q5.3, Same workshops in the CEUR-WS and Colinda datasets for the 3rd International Workshop on Ontology Matching , FirstTwoColumnsEqual
Q5.4, Same workshops in the CEUR-WS and Colinda datasets for the Workshop on Ontology Patterns (WOP 2009) , FirstTwoColumnsEqual
Q5.5, Same workshops in the CEUR-WS and Colinda datasets for the Sixth International Conference on Concept Lattices and Their Applications , FirstTwoColumnsEqual

Q6.1, Same workshops in the CEUR-WS and DBLP datasets for the Consuming Linked Data 2010, FirstTwoColumnsEqual
Q6.2, Same workshops in the CEUR-WS and DBLP datasets for the Workshop on Linked Data On the Web 2010, FirstTwoColumnsEqual
Q6.3, Same workshops in the CEUR-WS and DBLP datasets for the 3rd International Workshop on Ontology Matching , FirstTwoColumnsEqual
Q6.4, Same workshops in the CEUR-WS and DBLP datasets for the Workshop on Ontology Patterns (WOP 2009) , FirstTwoColumnsEqual
Q6.5, Same workshops in the CEUR-WS and DBLP datasets for The Ninth International Conference on Concept Lattices and Their Applications , FirstTwoColumnsEqual

Q7.1, Same people in the CEUR-WS and DBLP datasets for Ruben Verborgh , FirstTwoColumnsEqual
Q7.2, Same people in the CEUR-WS and DBLP datasets for Olaf Hartig , FirstTwoColumnsEqual
Q7.3, Same people in the CEUR-WS and DBLP datasets for Yolanda Gil, FirstTwoColumnsEqual
Q7.4, Same people in the CEUR-WS and DBLP datasets for valentina Presutti, FirstTwoColumnsEqual
Q7.5, Same people in the CEUR-WS and DBLP datasets for Jérôme Euzenat , FirstTwoColumnsEqual

Q8.1, Cited papers in CEUR dataset presented at conferences of Springer dataset , FirstTwoColumnsEqual
Q8.2, Cited papers in CEUR dataset presented at conferences of Springer dataset , FirstTwoColumnsEqual
Q8.3, Cited papers in CEUR dataset presented at conferences of Springer dataset , FirstTwoColumnsEqual
Q8.4, Cited papers in CEUR dataset presented at conferences of Springer dataset , FirstTwoColumnsEqual
Q8.5, Cited papers in CEUR dataset presented at conferences of Springer dataset , FirstTwoColumnsEqual

