section-iri, section-number, section-title
<http://ceur-ws.org/section/vol-1749-paper_008_sec1>, "1"^^xsd:integer, "Introduction"
<http://ceur-ws.org/section/vol-1749-paper_008_sec2>, "2"^^xsd:integer, "Task Description"
<http://ceur-ws.org/section/vol-1749-paper_008_sec3>, "3"^^xsd:integer, "Building a larger resource"
<http://ceur-ws.org/section/vol-1749-paper_008_sec4>, "4"^^xsd:integer, "Description of the system"
<http://ceur-ws.org/section/vol-1749-paper_008_sec5>, "5"^^xsd:integer, "Experiments"
<http://ceur-ws.org/section/vol-1749-paper_008_sec6>, "6"^^xsd:integer, "Results"
<http://ceur-ws.org/section/vol-1749-paper_008_sec7>, "7"^^xsd:integer, "Discussion"
<http://ceur-ws.org/section/vol-1749-paper_008_sec8>, "8"^^xsd:integer, "Related Work"
<http://ceur-ws.org/section/vol-1749-paper_008_sec9>, "9"^^xsd:integer, "Conclusions"
<http://ceur-ws.org/section/vol-1749-paper_008_secnonum_1>, , "Acknowledgments"
<http://ceur-ws.org/section/vol-1749-paper_008_secnonum_2>, , "References"
