footnote-iri, footnote-marker, footnote-body, sentence-with-footnote
<http://ceur-ws.org/footnote/vol-1184-ldow2014_paper_05_footnote1>, "1", "Linking Open Data cloud diagram, by Richard Cyganiak and Anja Jentzsch. http://lod-cloud.net/", "It was one of the first Linked Open Data datasets available in 2007 and is a hub in the Linked Open Data cloud******."
<http://ceur-ws.org/footnote/vol-1184-ldow2014_paper_05_footnote2>, "2", "http://blog.dbpedia.org/2013/09/17/dbpedia-39-released-including-wider-infobox-coverage-additional-type-statements-and-new-yago-and-wikidata-links/", "The latest DBpedia release provides data for 4.0 million entities out of which 3.2 millions are classified according to the DBpedia ontology.******"
<http://ceur-ws.org/footnote/vol-1184-ldow2014_paper_05_footnote3>, "3", "http://wiki.dbpedia.org/lookup/", "DBpedia Lookup****** is an additional service which allows to search for DBpedia entities using either strings or prefixes (for auto-completion)."
<http://ceur-ws.org/footnote/vol-1184-ldow2014_paper_05_footnote4>, "4", "http://mappings.dbpedia.org", "The DBpedia mappings wiki****** is an effort to crowdsource the mappings between the Wikipedia infoboxes and the DBpedia ontology."
<http://ceur-ws.org/footnote/vol-1184-ldow2014_paper_05_footnote5>, "5", "https://github.com/dbpedia/dbpedia-vad-i18n", "DBpedia Viewer is provided as open source on Github******."
<http://ceur-ws.org/footnote/vol-1184-ldow2014_paper_05_footnote6>, "6", "http://virtuoso.openlinksw.com/", "We use the Open Source edition of the Virtuoso server****** as our triple store."
<http://ceur-ws.org/footnote/vol-1184-ldow2014_paper_05_footnote7>, "7", "http://angularjs.org/", "For the client-side logic, we used AngularJS ******, an opensource JavaScript framework that implements the Model View Controller (MVC) paradigm for web applications."
<http://ceur-ws.org/footnote/vol-1184-ldow2014_paper_05_footnote8>, "8", "http://getbootstrap.com/", "For styling and layout, we used the CSS from Twitter Bootstrap******."
<http://ceur-ws.org/footnote/vol-1184-ldow2014_paper_05_footnote9>, "9", "http://mes.github.io/marbles", "The Marbles Linked Data browser ****** is a server-side application that generates HTML from Semantic Web content using Fresnel [10] vocabularies."
<http://ceur-ws.org/footnote/vol-1184-ldow2014_paper_05_footnote10>, "10", "http://wifo5-03.informatik.uni-mannheim.de/pubby/", "Pubby ****** is a server-side Java application that can be configured to use a SPARQL endpoint and publish the data behind it as Linked Data."
<http://ceur-ws.org/footnote/vol-1184-ldow2014_paper_05_footnote11>, "11", "https://github.com/Graphity/graphity-browser", "The Graphity project ****** provides a framework for publishing RDF data or building applications around it."
<http://ceur-ws.org/footnote/vol-1184-ldow2014_paper_05_footnote12>, "12", "http://www.google-melange.com/gsoc/org2/google/gsoc2013/dbpediaspotlight", "We would like to thank Google for sponsoring this work through the Google Summer of Code 2013 project.******"
